Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2004-10-18,44.79,47.75,44.7,47.75,21442000.0,2.9427296672880257,45.56045933457605,33.78954066542396,45.5,44.98,39.75,38.59,44.91,43.25399999999996,41.354999999999976,39.675000000000004,36.08099999999998,29.43203499999999,44.28610696168745,44.28610696168745,44.28610696168745,44.28610696168745,44.28610696168745,2.310960651589319,1.5991831499312965,1.5203819110501484,52.75514937400991,1333.3333333333335,23.098736787831918,82.92602442672194,-0.0,100.0,0.05353552132071947,48244500.0,215277679.99999997,2004-10-18,18,0,292,43,0,0,0,0,0,0,1,2004,10,36.14,35.63,35.45,35.75,35.910000000000004,35.55200000000001,34.73180000000001,1114.02,1108.2,1124.39,9956.3203,9933.3799,10081.9697,47.42
2004-10-19,48.1,48.35,47.31,47.42,14321300.0,3.381987075514576,46.90947415102916,33.38152584897085,47.75,45.5,44.98,38.29,44.79,45.07999999999997,42.15999999999998,40.145500000000006,36.42339999999999,29.56273499999999,45.3307379744583,45.3307379744583,45.3307379744583,45.3307379744583,45.3307379744583,2.5939725070893616,1.7981410213629097,1.4860689174037092,54.23575546461408,1333.3333333333333,20.4470408940818,80.84877114762679,-8.691588785046724,91.30841121495328,0.053325470287848856,-4726028.999999976,134763433.00000006,2004-10-19,19,1,293,43,0,0,0,0,0,0,1,2004,10,35.88,36.14,35.63,35.69,35.862,35.5675,34.79340000000001,1103.23,1114.02,1121.84,9897.6201,9956.3203,10077.1797,47.47
2004-10-20,47.1,47.6,46.65,47.47,10805500.0,3.663462699055184,47.99992539811038,33.34607460188964,47.42,47.75,45.5,39.75,48.1,46.62399999999997,42.84299999999998,40.67300000000001,36.74239999999998,29.68923499999999,46.043825316305536,46.043825316305536,46.043825316305536,46.043825316305536,46.043825316305536,2.7901331060470653,1.9965394382997408,1.4477782804463017,54.95583411827534,1333.3333333333333,16.80610236220472,80.92672983465818,-8.224299065420583,91.77570093457942,0.05693365464541182,540274.9999999693,113998024.99999997,2004-10-20,20,2,294,43,0,0,0,0,0,0,1,2004,10,36.05,35.88,36.14,35.61,35.80200000000001,35.622499999999995,34.85020000000001,1103.66,1103.23,1113.65,9886.9297,9897.6201,10002.3301,47.94
2004-10-21,47.64,48.13,47.36,47.94,12937600.0,3.9104088829148327,49.02731776582967,33.38568223417034,47.47,47.42,47.75,44.98,47.1,47.215999999999966,43.67499999999998,41.206500000000005,37.08099999999999,29.81848499999999,46.67588354420369,46.67588354420369,46.67588354420369,46.67588354420369,46.67588354420369,2.949516673822508,2.1871348854042942,1.3993655461287091,55.73585790948449,1333.3333333333333,20.999495204442205,81.68159279512281,-3.831775700934613,96.16822429906539,0.02167638286037034,6080671.999999985,138044191.99999994,2004-10-21,21,3,295,43,0,0,0,0,0,0,1,2004,10,36.6,36.05,35.88,35.45,35.83800000000001,35.7065,34.92380000000001,1106.49,1103.66,1103.29,9865.7598,9886.9297,9894.4502,47.41
2004-10-22,47.4,47.67,47.02,47.41,8626200.0,4.029877724408585,49.77225544881718,33.652744551182835,47.94,47.47,47.42,45.5,47.64,47.59799999999997,44.509999999999984,41.712500000000006,37.42179999999999,29.942584999999987,46.92058902946913,46.92058902946913,46.92058902946913,46.92058902946913,46.92058902946913,2.9984979115517234,2.34940749063378,1.3651251499766581,56.11295265807043,1333.3333333333337,21.377368151561686,77.93580906596306,-8.785046728972006,91.214953271028,0.024260369859010613,-4571886.00000001,87297143.99999999,2004-10-22,22,4,296,43,0,0,0,0,0,0,1,2004,10,35.8,36.6,36.05,35.63,35.86000000000001,35.7565,34.9904,1095.74,1106.49,1108.2,9757.8096,9865.7598,9933.3799,47.55
2004-10-25,47.19,47.84,47.07,47.55,7011500.0,4.104692148210297,50.4228842964206,34.00411570357941,47.41,47.94,47.47,47.75,47.4,47.55799999999997,45.405999999999985,42.2135,37.75599999999999,30.063534999999987,47.13039268631275,47.13039268631275,47.13039268631275,47.13039268631275,47.13039268631275,3.013870699954367,2.4823001324978975,1.3226162106926114,56.506369701464955,1333.3333333333335,23.218450375744993,78.2199373542393,-7.47663551401873,92.52336448598128,0.00828482537711881,981610.000000004,70255229.99999997,2004-10-25,25,0,299,44,0,0,0,0,0,0,1,2004,10,35.63,35.8,36.6,36.14,35.848000000000006,35.813,35.052600000000005,1094.8,1095.74,1114.02,9749.9902,9757.8096,9956.3203,47.97
2004-10-26,47.45,48.05,46.97,47.97,10613600.0,4.173288492556631,51.05657698511327,34.36342301488675,47.55,47.41,47.94,47.42,47.19,47.66799999999997,46.37399999999998,42.71000000000001,38.09979999999999,30.18838499999999,47.41026179087517,47.41026179087517,47.41026179087517,47.41026179087517,47.41026179087517,3.025073076053829,2.5908547212090838,1.3052864813574245,56.92719087488263,1333.3333333333333,25.28075215460956,79.0898767501396,-3.5514018691589015,96.4485981308411,0.008378433606530185,4457712.000000018,105393048.0,2004-10-26,26,1,300,44,0,0,0,0,0,0,1,2004,10,35.82,35.63,35.8,35.88,35.861000000000004,35.8755,35.111200000000004,1111.09,1094.8,1103.23,9888.4805,9749.9902,9897.6201,50.3
2004-10-27,48.66,50.62,48.17,50.3,21312400.0,4.386140732616334,52.06328146523268,34.518718534767345,47.97,47.55,47.41,47.47,47.45,48.23399999999997,47.42899999999999,43.29100000000001,38.48839999999999,30.32123499999999,48.373507860583445,48.373507860583445,48.373507860583445,48.373507860583445,48.373507860583445,3.1852450450656065,2.709732785980388,1.401337446974751,57.88370397057735,1333.3333333333333,26.54088050314465,83.11831701858775,-2.4672320740169646,97.53276792598304,0.022165441919107222,49657891.99999996,247650087.99999994,2004-10-27,27,2,301,44,0,0,0,0,0,0,1,2004,10,36.73,35.82,35.63,36.05,35.973000000000006,35.958,35.180600000000005,1125.4,1111.09,1103.66,10002.0303,9888.4805,9886.9297,52.19
2004-10-28,49.98,52.22,49.5,52.19,15433300.0,4.67392667104611,53.31085334209223,34.615146657907786,50.3,47.97,47.55,47.94,48.66,49.08399999999998,48.14999999999998,43.96300000000001,38.89739999999999,30.461584999999992,49.64567190705563,49.64567190705563,49.64567190705563,49.64567190705563,49.64567190705563,3.4252060459145426,2.8528274379672194,1.4955276293336972,59.034256382071774,1333.3333333333333,16.02934637616719,85.55015238198375,-0.2059025394646612,99.79409746053534,0.02485222811603453,29168937.000000007,207423551.99999997,2004-10-28,28,3,302,44,0,0,0,0,0,0,1,2004,10,36.96,36.73,35.82,36.6,36.12400000000001,36.049,35.24280000000001,1127.4399,1125.4,1106.49,10004.54,10002.0303,9865.7598,52.4
2004-10-29,51.96,53.2,51.8,52.4,14468200.0,4.8601911106024795,54.36988222120497,34.92911777879505,52.19,50.3,47.97,47.41,49.98,50.08199999999998,48.839999999999975,44.64950000000001,39.331199999999995,30.60258499999999,50.56378127137042,50.56378127137042,50.56378127137042,50.56378127137042,50.56378127137042,3.590928128677504,3.0004475761092766,1.4887042272384334,60.242824696461845,1333.3333333333335,15.16483516483516,85.79500330199869,-5.144694533762084,94.85530546623792,0.021183767973277118,3038322.000000012,198648385.99999994,2004-10-29,29,4,303,44,0,0,0,0,0,0,1,2004,10,36.9,36.96,36.73,35.8,36.251000000000005,36.089,35.30740000000001,1130.2,1127.4399,1095.74,10027.4697,10004.54,9757.8096,52.45
2004-11-01,52.5,53.26,52.04,52.45,10750900.0,4.952362408089,55.23722481617801,35.42777518382202,52.4,52.19,50.3,47.55,51.96,51.061999999999976,49.30999999999998,45.33250000000002,39.764199999999995,30.750584999999987,51.19252084758028,51.19252084758028,51.19252084758028,51.19252084758028,51.19252084758028,3.6838337134214,3.1371248035717016,1.4695110681499737,61.373570627191555,1333.3333333333335,9.84293193717278,85.85645475414469,-5.578512396694183,94.42148760330582,0.02160968597693484,537545.0000000459,146857294.00000003,2004-11-01,1,0,306,45,0,1,0,0,0,0,1,2004,11,37.04,36.9,36.96,35.63,36.34100000000001,36.1255,35.36800000000001,1130.51,1130.2,1094.8,10054.3896,10027.4697,9749.9902,53.5
2004-11-02,52.43,54.08,52.4,53.5,13035500.0,5.063625599363245,56.166251198726506,35.911748801273525,52.45,52.4,52.19,47.97,52.5,52.167999999999985,49.91799999999998,46.039000000000016,40.212599999999995,30.904484999999987,51.96168056505353,51.96168056505353,51.96168056505353,51.96168056505353,51.96168056505353,3.7984026619994253,3.2693803752572466,1.484545991853547,62.53963062166584,1333.3333333333333,12.821594264023615,87.11687722360838,-5.030355594102327,94.96964440589767,0.020726629529139055,13687274.999999963,184191615.00000003,2004-11-02,2,1,307,45,0,0,0,0,0,0,1,2004,11,37.16,37.04,36.9,35.82,36.46900000000001,36.165499999999994,35.42940000000001,1130.5601,1130.51,1111.09,10035.7305,10054.3896,9888.4805,55.31
2004-11-03,54.44,56.11,53.99,55.31,21503100.0,5.297504750252506,57.36750950050504,36.17749049949501,53.5,52.45,52.4,50.3,52.43,53.16999999999998,50.70199999999998,46.77250000000002,40.6798,31.06738499999999,53.07778704336902,53.07778704336902,53.07778704336902,53.07778704336902,53.07778704336902,3.9892654831132646,3.4133573968284505,1.564935563864008,63.86663273949964,1333.3333333333333,16.515694122603758,88.94566905830985,-6.71140939597313,93.28859060402687,0.016700141695323974,38920611.00000005,315450477.00000006,2004-11-03,3,2,308,45,0,0,0,0,0,0,1,2004,11,37.41,37.16,37.04,36.73,36.605000000000004,36.2035,35.49600000000001,1143.2,1130.5601,1125.4,10137.0498,10035.7305,10002.0303,54.45
2004-11-04,55.03,55.55,54.37,54.45,16582600.0,5.281531277156226,58.07706255431248,36.95093744568757,55.31,53.5,52.45,52.19,54.44,53.62199999999998,51.35299999999997,47.514000000000024,41.1078,31.22658499999999,53.53519136224602,53.53519136224602,53.53519136224602,53.53519136224602,53.53519136224602,4.024736177910569,3.5356331530448744,1.53744016644515,65.09884899177389,1333.3333333333333,13.579474342928672,82.92256436401601,-14.548641542506548,85.45135845749346,0.01890491388716017,-14261035.99999999,245919958.0000001,2004-11-04,4,3,309,45,0,0,0,0,0,0,1,2004,11,37.62,37.41,37.16,36.96,36.707,36.272499999999994,35.55740000000001,1161.67,1143.2,1127.4399,10314.7598,10137.0498,10004.54,54.72
