Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2004-10-18,56.58,56.58,56.58,56.58,6466400.0,0.6791114550800488,58.07672291016002,55.36027708983983,56.58,56.52,56.51,55.36,56.73,56.60199999999996,56.482000000000006,56.71849999999993,57.03420000000003,54.65740000000005,56.50652678480027,56.50652678480027,56.50652678480027,56.50652678480027,56.50652678480027,-0.21994453379009826,-0.1985809146954592,0.7201642260962321,15.566643251443919,1333.3333333333335,-1.1703056768558981,47.76970577721831,-40.00000000000005,59.99999999999995,0.012532727099083193,0.0,-8664976.000000022,2004-10-18,18,0,292,43,0,0,0,0,0,0,1,2004,10,36.14,35.63,35.45,35.75,35.910000000000004,35.55200000000001,34.73180000000001,1114.02,1108.2,1124.39,9956.3203,9933.3799,10081.9697,56.61
2004-10-19,56.84,57.42,56.47,56.61,5435400.0,0.619646758454402,57.89329351690872,55.414706483091116,56.58,56.58,56.52,56.82,56.58,56.55999999999997,56.397000000000006,56.65399999999992,57.076600000000035,54.68215000000006,56.541017856533514,56.541017856533514,56.541017856533514,56.541017856533514,56.541017856533514,-0.20136752309742434,-0.19913823637585223,0.7365810670893586,15.421927357604313,1333.3333333333333,-1.4792899408284048,48.07452730833363,-38.98305084745763,61.01694915254237,0.0026686380161132935,163062.00000000617,-7011665.999999995,2004-10-19,19,1,293,43,0,0,0,0,0,0,1,2004,10,35.88,36.14,35.63,35.69,35.862,35.5675,34.79340000000001,1103.23,1114.02,1121.84,9897.6201,9956.3203,10077.1797,57.5
2004-10-20,56.35,57.5,56.33,57.5,6049000.0,0.6321092510500445,57.9282185021,55.39978149789983,56.61,56.58,56.58,56.51,56.84,56.75799999999997,56.372,56.663999999999916,57.12680000000004,54.70985000000006,56.86067857102235,56.86067857102235,56.86067857102235,56.86067857102235,56.86067857102235,-0.1135209475051866,-0.1820147786017191,0.7675395622972616,15.069026114170038,1333.3333333333333,-0.4329004329004329,56.23481344326442,-8.813559322033845,91.18644067796615,0.00684517518552149,5383610.000000004,1209800.0000000172,2004-10-20,20,2,294,43,0,0,0,0,0,0,1,2004,10,36.05,35.88,36.14,35.61,35.80200000000001,35.622499999999995,34.85020000000001,1103.66,1103.23,1113.65,9886.9297,9897.6201,10002.3301,57.78
2004-10-21,57.3,57.96,57.18,57.78,6910700.0,0.6786945673787023,58.08238913475733,55.36761086524252,57.5,56.61,56.58,56.52,56.35,57.00999999999997,56.55800000000001,56.72499999999992,57.16240000000004,54.74010000000007,57.16711904734824,57.16711904734824,57.16711904734824,57.16711904734824,57.16711904734824,-0.021065414519753745,-0.14982490578532603,0.768429593561743,15.29790561324405,1333.3333333333333,3.3261802575107287,58.447281835329655,-5.714285714285707,94.28571428571429,0.006593041716692499,1934996.000000008,8431053.999999993,2004-10-21,21,3,295,43,0,0,0,0,0,0,1,2004,10,36.6,36.05,35.88,35.45,35.83800000000001,35.7065,34.92380000000001,1106.49,1103.66,1103.29,9865.7598,9886.9297,9894.4502,57.29
2004-10-22,57.78,57.99,57.24,57.29,5131100.0,0.6887486746571606,58.13949734931424,55.384502650685604,57.78,57.5,56.61,56.58,57.3,57.15199999999997,56.754999999999995,56.76199999999992,57.18220000000004,54.76780000000007,57.20807936489883,57.20807936489883,57.20807936489883,57.20807936489883,57.20807936489883,0.012522999238285593,-0.11735532478060372,0.7671131940216185,15.545907600989638,1333.3333333333335,3.5610990600144596,53.36319620329329,-22.012578616352293,77.9874213836477,0.008819322956265436,-2514239.0000000102,3797014.0000000102,2004-10-22,22,4,296,43,0,0,0,0,0,0,1,2004,10,35.8,36.6,36.05,35.63,35.86000000000001,35.7565,34.9904,1095.74,1106.49,1108.2,9757.8096,9865.7598,9933.3799,57.08
2004-10-25,57.1,57.31,56.95,57.08,6234900.0,0.6899769256247827,58.169453851249486,55.40954614875035,57.29,57.78,57.5,56.58,57.78,57.251999999999974,56.927,56.78949999999992,57.21300000000004,54.79325000000007,57.165386243265885,57.165386243265885,57.165386243265885,57.165386243265885,57.165386243265885,0.021943859028901613,-0.08949548801870266,0.7380336801629314,15.271487138127327,1333.3333333333335,3.1069364161849693,51.30349880430395,-28.616352201257982,71.38364779874202,0.00922503887702079,-1309329.0000000054,3429194.9999999823,2004-10-25,25,0,299,44,0,0,0,0,0,0,1,2004,10,35.63,35.8,36.6,36.14,35.848000000000006,35.813,35.052600000000005,1094.8,1095.74,1114.02,9749.9902,9757.8096,9956.3203,57.23
2004-10-26,57.01,57.34,56.7,57.23,6610400.0,0.6936584932537393,58.1833169865074,55.40868301349244,57.08,57.29,57.78,56.61,57.1,57.375999999999976,56.967999999999996,56.79599999999992,57.23580000000003,54.82240000000007,57.18692416217726,57.18692416217726,57.18692416217726,57.18692416217726,57.18692416217726,0.041040614032631595,-0.06338826760843581,0.7310312744370078,14.599048062377053,1333.3333333333333,0.7215769095388888,52.70763510196231,-23.899371069182553,76.10062893081745,0.009200802233197304,991559.9999999906,859351.99999997,2004-10-26,26,1,300,44,0,0,0,0,0,0,1,2004,10,35.82,35.63,35.8,35.88,35.861000000000004,35.8755,35.111200000000004,1111.09,1094.8,1103.23,9888.4805,9749.9902,9897.6201,57.77
2004-10-27,56.99,57.8,56.9,57.77,5945100.0,0.7257888630201629,58.284577726040254,55.3814222739596,57.23,57.08,57.29,57.5,57.01,57.42999999999997,57.093999999999994,56.83299999999993,57.26040000000003,54.84930000000008,57.38128277478485,57.38128277478485,57.38128277478485,57.38128277478485,57.38128277478485,0.0986116828927237,-0.030988277508203908,0.7431004691200785,14.606534655181829,1333.3333333333335,2.229693859493904,57.46281978592207,-6.918238993710657,93.08176100628934,0.007078493555474061,3210354.0000000373,4399374.000000012,2004-10-27,27,2,301,44,0,0,0,0,0,0,1,2004,10,36.73,35.82,35.63,36.05,35.973000000000006,35.958,35.180600000000005,1125.4,1111.09,1103.66,10002.0303,9888.4805,9886.9297,58.01
2004-10-28,57.57,58.08,57.49,58.01,5581200.0,0.7608796847969665,58.43875936959386,55.395240630406,57.77,57.23,57.08,57.78,56.99,57.47599999999998,57.242999999999995,56.91699999999993,57.28000000000004,54.878100000000074,57.5908551831899,57.5908551831899,57.5908551831899,57.5908551831899,57.5908551831899,0.16173874045669834,0.007557126084776541,0.7321647213257869,14.967004788093439,1333.3333333333335,2.6362349610757163,59.41596162057957,-2.140672782874629,97.85932721712537,0.006986304781988759,1339487.9999999714,9376415.999999998,2004-10-28,28,3,302,44,0,0,0,0,0,0,1,2004,10,36.96,36.73,35.82,36.6,36.12400000000001,36.049,35.24280000000001,1127.4399,1125.4,1106.49,10004.54,10002.0303,9865.7598,58.38
2004-10-29,57.93,58.48,57.91,58.38,6801500.0,0.8283807921734994,58.64276158434693,55.32923841565294,58.01,57.77,57.23,57.29,57.57,57.693999999999974,57.42299999999999,56.98599999999993,57.31200000000003,54.910000000000075,57.85390345545994,57.85390345545994,57.85390345545994,57.85390345545994,57.85390345545994,0.23886975432639446,0.053819651733100125,0.7205815269453736,15.772057767525329,1333.3333333333335,3.1813361611877062,62.2906409219942,-3.2051282051280254,96.79487179487197,0.004889794493517,2516555.0000000307,9386070.000000017,2004-10-29,29,4,303,44,0,0,0,0,0,0,1,2004,10,36.9,36.96,36.73,35.8,36.251000000000005,36.089,35.30740000000001,1130.2,1127.4399,1095.74,10027.4697,10004.54,9757.8096,58.44
2004-11-01,58.35,58.89,58.1,58.44,6724200.0,0.8888696251566943,58.82323925031332,55.267760749686545,58.38,58.01,57.77,57.08,57.93,57.96599999999997,57.60899999999998,57.04549999999993,57.34000000000004,54.943000000000076,58.04926897030663,58.04926897030663,58.04926897030663,58.04926897030663,58.04926897030663,0.3013641981920969,0.10332856102489948,0.7255399893064183,16.956692164089326,1333.3333333333335,3.287380699893955,62.75140461670329,-17.441860465116402,82.5581395348836,0.003290747152054347,403451.9999999675,8001797.999999985,2004-11-01,1,0,306,45,0,1,0,0,0,0,1,2004,11,37.04,36.9,36.96,35.63,36.34100000000001,36.1255,35.36800000000001,1130.51,1130.2,1094.8,10054.3896,10027.4697,9749.9902,58.04
2004-11-02,57.81,59.0,57.81,58.04,7443800.0,0.9122584756063793,58.89901695121269,55.24998304878717,58.44,58.38,58.01,57.23,58.35,58.12799999999997,57.751999999999974,57.07449999999993,57.359800000000035,54.98095000000008,58.046179313537756,58.046179313537756,58.046179313537756,58.046179313537756,58.046179313537756,0.31498389981688746,0.14565962878329708,0.7587157043559597,17.494800849937853,1333.3333333333333,2.5260554672319375,57.690514183027254,-35.95505617977529,64.0449438202247,0.006221423783711734,-2977519.9999999893,4317403.999999987,2004-11-02,2,1,307,45,0,0,0,0,0,0,1,2004,11,37.16,37.04,36.9,35.82,36.46900000000001,36.165499999999994,35.42940000000001,1130.5601,1130.51,1111.09,10035.7305,10054.3896,9888.4805,59.45
2004-11-03,59.23,59.98,59.18,59.45,9375800.0,1.0476614308468624,59.25482286169366,55.06417713830621,58.04,58.44,58.38,57.77,57.81,58.46399999999998,57.94699999999998,57.15949999999994,57.40540000000003,55.020700000000076,58.514119542358515,58.514119542358515,58.514119542358515,58.514119542358515,58.514119542358515,0.4345436785848378,0.20343643874360523,0.8430931540448195,18.953639511012756,1333.3333333333335,3.3913043478260922,67.60771090429857,-14.520547945205323,85.47945205479468,0.011486036681540763,13219878.000000035,15938860.000000026,2004-11-03,3,2,308,45,0,0,0,0,0,0,1,2004,11,37.41,37.16,37.04,36.73,36.605000000000004,36.2035,35.49600000000001,1143.2,1130.5601,1125.4,10137.0498,10035.7305,10002.0303,59.22
