Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2004-10-18,28.06,28.45,27.98,28.41,50350700.0,0.45062850845410896,28.724757016908214,26.922242983091778,27.99,27.8,28.03,28.06,27.97,28.05199999999997,28.13900000000004,27.823499999999996,27.51599999999999,26.99809999999999,28.123120724586734,28.123120724586734,28.123120724586734,28.123120724586734,28.123120724586734,0.18282857666278574,0.16574576108692665,0.3821299217246366,20.031763043504366,1333.3333333333335,1.0312944523470808,61.61273196951767,-13.267487285324663,86.73251271467534,0.008785893116622263,21147294.000000086,45315629.999999925,2004-10-18,18,0,292,43,0,0,0,0,0,0,1,2004,10,36.14,35.63,35.45,35.75,35.910000000000004,35.55200000000001,34.73180000000001,1114.02,1108.2,1124.39,9956.3203,9933.3799,10081.9697,28.18
2004-10-19,28.54,28.59,28.17,28.18,57026500.0,0.4368243655243897,28.743148731048773,26.995851268951217,28.41,27.99,27.8,28.03,28.06,28.081999999999972,28.11900000000004,27.869499999999995,27.53599999999999,27.001749999999994,28.142080483057825,28.142080483057825,28.142080483057825,28.142080483057825,28.142080483057825,0.18221968950958,0.16904054677145733,0.3848349273157338,20.634504960859967,1333.3333333333335,-0.7047216349541906,56.44812135985371,-38.3177570093458,61.6822429906542,0.009982577889102015,-13116095.000000024,52464379.999999896,2004-10-19,19,1,293,43,0,0,0,0,0,0,1,2004,10,35.88,36.14,35.63,35.69,35.862,35.5675,34.79340000000001,1103.23,1114.02,1121.84,9897.6201,9956.3203,10077.1797,28.699
2004-10-20,28.22,28.75,28.12,28.699,69078100.0,0.43692423467015457,28.8222984693403,27.07460153065968,28.18,28.41,27.99,28.03,28.54,28.215799999999973,28.13590000000004,27.94844999999999,27.555579999999992,27.00454499999999,28.32772032203855,28.32772032203855,28.32772032203855,28.32772032203855,28.32772032203855,0.22106777291365276,0.17944599199989641,0.4023467182217528,21.61624169410808,1333.3333333333335,0.5923589204346319,63.818332086420114,-5.257731958762726,94.74226804123728,0.012541557202076796,35851533.90000013,109074319.90000004,2004-10-20,20,2,294,43,0,0,0,0,0,0,1,2004,10,36.05,35.88,36.14,35.61,35.80200000000001,35.622499999999995,34.85020000000001,1103.66,1103.23,1113.65,9886.9297,9897.6201,10002.3301,28.56
2004-10-21,28.82,28.89,28.47,28.56,94988500.0,0.4334560592068735,28.875862118413735,27.14203788158624,28.699,28.18,28.41,27.8,28.22,28.36779999999997,28.174900000000036,28.008949999999988,27.578579999999988,27.006144999999993,28.405146881359038,28.405146881359038,28.405146881359038,28.405146881359038,28.405146881359038,0.2378966955474553,0.19113613270940819,0.4036076669201991,22.86635336237519,1333.3333333333335,1.3844515441959424,60.848349256961335,-30.247479376718747,69.75252062328126,0.011734701301132699,-13203401.500000276,114936084.99999975,2004-10-21,21,3,295,43,0,0,0,0,0,0,1,2004,10,36.6,36.05,35.88,35.45,35.83800000000001,35.7065,34.92380000000001,1106.49,1103.66,1103.29,9865.7598,9886.9297,9894.4502,27.74
2004-10-22,28.3,28.34,27.58,27.74,101912800.0,0.4049118780023168,28.84127375600462,27.221626243995356,28.56,28.699,28.18,27.99,28.82,28.31779999999997,28.149900000000038,28.03144999999999,27.595779999999987,27.00379499999999,28.18343125423936,28.18343125423936,28.18343125423936,28.18343125423936,28.18343125423936,0.1829575700263888,0.18950042017280433,0.44477854785447063,21.72646586514519,1333.3333333333333,-0.8931761343336907,46.96321595727461,-87.78625954198473,12.213740458015257,0.0191322193797183,-83568496.00000003,45860759.999999925,2004-10-22,22,4,296,43,0,0,0,0,0,0,1,2004,10,35.8,36.6,36.05,35.63,35.86000000000001,35.7565,34.9904,1095.74,1106.49,1108.2,9757.8096,9865.7598,9933.3799,27.63
2004-10-25,27.68,27.77,27.55,27.63,61529500.0,0.36696213414292717,28.78737426828584,27.319525731714133,27.74,28.56,28.699,28.41,28.3,28.16179999999997,28.106900000000035,28.053449999999987,27.607979999999987,27.001144999999994,27.998954169492904,27.998954169492904,27.998954169492904,27.998954169492904,27.998954169492904,0.12905418028736193,0.17741117219571587,0.42872293729343697,20.746909239955524,1333.3333333333333,-1.5324305060584453,45.464440343709796,-94.02985074626878,5.970149253731217,0.016735568179361202,-6768244.999999965,27072979.99999986,2004-10-25,25,0,299,44,0,0,0,0,0,0,1,2004,10,35.63,35.8,36.6,36.14,35.848000000000006,35.813,35.052600000000005,1094.8,1095.74,1114.02,9749.9902,9757.8096,9956.3203,27.9
2004-10-26,27.7,27.9,27.629,27.9,76966600.0,0.32023601082884723,28.72542202165768,27.44447797834229,27.63,27.74,28.56,28.18,27.68,28.10579999999997,28.09390000000003,28.084949999999985,27.624179999999992,27.00234499999999,27.965969446328607,27.965969446328607,27.965969446328607,27.965969446328607,27.965969446328607,0.1068899384087807,0.16330692543832884,0.41745701320104844,19.432471381895887,1333.3333333333333,-0.46378879771674114,49.70712735105038,-73.88059701492553,26.11940298507447,0.01789418865691126,20780981.999999966,48488957.999999925,2004-10-26,26,1,300,44,0,0,0,0,0,0,1,2004,10,35.82,35.63,35.8,35.88,35.861000000000004,35.8755,35.111200000000004,1111.09,1094.8,1103.23,9888.4805,9749.9902,9897.6201,28.15
2004-10-27,27.87,28.351,27.58,28.15,72392600.0,0.2974879873735632,28.708425974747108,27.518474025252857,27.9,27.63,27.74,28.699,27.7,27.99599999999997,28.10590000000003,28.113449999999983,27.646179999999994,27.00524499999999,28.027312964219075,28.027312964219075,28.027312964219075,28.027312964219075,28.027312964219075,0.10824969262460726,0.15229547887558453,0.44271008368668785,19.075220251995013,1333.3333333333333,0.4281127363538974,53.32773160134162,-55.22388059701508,44.77611940298492,0.015562134335394096,18098150.0,41263782.00000002,2004-10-27,27,2,301,44,0,0,0,0,0,0,1,2004,10,36.73,35.82,35.63,36.05,35.973000000000006,35.958,35.180600000000005,1125.4,1111.09,1103.66,10002.0303,9888.4805,9886.9297,28.01
2004-10-28,28.12,28.54,27.9,28.01,63059600.0,0.27823872275817296,28.68792744551633,27.574972554483637,28.15,27.9,27.63,28.56,27.87,27.885999999999967,28.126900000000028,28.131449999999983,27.657179999999993,27.008144999999992,28.02154197614605,28.02154197614605,28.02154197614605,28.02154197614605,28.02154197614605,0.09691332122533325,0.14121904734553428,0.4568022205662102,19.16448524272251,1333.3333333333335,0.7553956834532405,51.10880443842504,-65.6716417910447,34.32835820895529,0.015564510082673557,-8828343.999999812,22701456.00000019,2004-10-28,28,3,302,44,0,0,0,0,0,0,1,2004,10,36.96,36.73,35.82,36.6,36.12400000000001,36.049,35.24280000000001,1127.4399,1125.4,1106.49,10004.54,10002.0303,9865.7598,27.97
2004-10-29,28.11,28.15,27.42,27.97,80010100.0,0.27900301356605783,28.6754560271321,27.559443972867868,28.01,28.15,27.9,27.74,28.12,27.931999999999967,28.124900000000025,28.117449999999984,27.674179999999996,27.009494999999994,28.0043613174307,28.0043613174307,28.0043613174307,28.0043613174307,28.0043613174307,0.08373624025752235,0.1297224859279319,0.4763163476686235,17.884911446361468,1333.3333333333335,-0.07145409074669373,50.46273769930498,-62.58503401360561,37.41496598639439,0.007146405308469859,-3200404.000000216,-22402828.00000009,2004-10-29,29,4,303,44,0,0,0,0,0,0,1,2004,10,36.9,36.96,36.73,35.8,36.251000000000005,36.089,35.30740000000001,1130.2,1127.4399,1095.74,10027.4697,10004.54,9757.8096,28.08
2004-11-01,28.15,28.28,27.96,28.08,72930900.0,0.2791271121493515,28.673704224298692,27.557195775701285,27.97,28.01,28.15,27.63,28.11,28.02199999999997,28.09190000000002,28.11544999999999,27.691779999999994,27.01219499999999,28.029574211620467,28.029574211620467,28.029574211620467,28.029574211620467,28.029574211620467,0.08123298604903795,0.12002458595215311,0.46515089426372186,17.008453221042192,1333.3333333333333,-1.1615628299894467,52.25033372006709,-55.10204081632673,44.89795918367327,0.006424970415334312,8022398.999999958,-2917236.000000197,2004-11-01,1,0,306,45,0,1,0,0,0,0,1,2004,11,37.04,36.9,36.96,35.63,36.34100000000001,36.1255,35.36800000000001,1130.51,1130.2,1094.8,10054.3896,10027.4697,9749.9902,28.24
2004-11-02,28.24,28.47,28.029,28.24,89417100.0,0.2738490700329094,28.656148140065806,27.560751859934168,28.08,27.97,28.01,27.9,28.15,28.089999999999968,28.09790000000002,28.108449999999987,27.711779999999994,27.014344999999988,28.099716141080314,28.099716141080314,28.099716141080314,28.099716141080314,28.099716141080314,0.09110954772559055,0.1142415783068406,0.46342583038774166,16.63305085284107,1333.3333333333335,0.21291696238466543,54.805031032995984,-44.21768707483011,55.78231292516988,0.005596441460951034,14306736.000000013,-12518394.00000005,2004-11-02,2,1,307,45,0,0,0,0,0,0,1,2004,11,37.16,37.04,36.9,35.82,36.46900000000001,36.165499999999994,35.42940000000001,1130.5601,1130.51,1111.09,10035.7305,10054.3896,9888.4805,28.47
