Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2004-10-18,52.45,53.17,52.35,52.92,7844300.0,0.5248786827248365,53.89625736544968,51.796742634550334,52.53,52.1,52.55,52.9,52.54,52.60400000000003,52.97099999999998,52.846500000000006,53.092400000000005,55.16365,52.70550674197439,52.70550674197439,52.70550674197439,52.70550674197439,52.70550674197439,-0.0872505364940821,-0.04337521290156943,0.7999735156508506,9.337213357131475,1333.3333333333335,-0.7315700619020832,50.015707455589045,-62.931034482758655,37.068965517241345,0.00783493274836964,3059277.0000000047,5647895.999999991,2004-10-18,18,0,292,43,0,0,0,0,0,0,1,2004,10,36.14,35.63,35.45,35.75,35.910000000000004,35.55200000000001,34.73180000000001,1114.02,1108.2,1124.39,9956.3203,9933.3799,10081.9697,52.68
2004-10-19,53.02,53.36,52.61,52.68,7683500.0,0.5083189529171128,53.88413790583423,51.850862094165784,52.92,52.53,52.1,52.92,52.45,52.556000000000026,52.89799999999998,52.86750000000001,53.11860000000001,55.16555,52.69700449464959,52.69700449464959,52.69700449464959,52.69700449464959,52.69700449464959,-0.09244899746556712,-0.053189969814368965,0.796403978818647,9.630543083210506,1333.3333333333333,-1.3667852462085694,47.38639652588878,-73.27586206896564,26.72413793103437,0.008095146413197427,-1844040.0000000154,3227070.000000013,2004-10-19,19,1,293,43,0,0,0,0,0,0,1,2004,10,35.88,36.14,35.63,35.69,35.862,35.5675,34.79340000000001,1103.23,1114.02,1121.84,9897.6201,9956.3203,10077.1797,52.48
2004-10-20,52.64,52.93,52.21,52.48,8675300.0,0.434845405076108,53.777690810152215,52.03830918984779,52.68,52.92,52.53,52.55,53.02,52.54200000000003,52.747999999999976,52.908,53.126000000000005,55.16735,52.62466966309973,52.62466966309973,52.62466966309973,52.62466966309973,52.62466966309973,-0.1114227318738159,-0.06483652222625835,0.790946551760172,9.179247339483823,1333.3333333333335,-2.7788069655427936,45.25152292116271,-81.89655172413816,18.103448275861833,0.007603501398207382,-1735060.0000000247,7026992.999999958,2004-10-20,20,2,294,43,0,0,0,0,0,0,1,2004,10,36.05,35.88,36.14,35.61,35.80200000000001,35.622499999999995,34.85020000000001,1103.66,1103.23,1113.65,9886.9297,9897.6201,10002.3301,52.11
2004-10-21,52.42,52.61,52.01,52.11,9691900.0,0.46367269535855454,53.813845390717105,51.95915460928289,52.48,52.68,52.92,52.1,52.64,52.544000000000025,52.603999999999985,52.8865,53.135600000000004,55.1612,52.453113108733156,52.453113108733156,52.453113108733156,52.453113108733156,52.453113108733156,-0.154534088098238,-0.08277603540065429,0.7773075123487312,8.625573988358626,1333.3333333333335,-2.6890756302520966,41.52436420703354,-95.78059071729953,4.219409282700473,0.0072095237478811205,-3586002.9999999753,-4167516.999999997,2004-10-21,21,3,295,43,0,0,0,0,0,0,1,2004,10,36.6,36.05,35.88,35.45,35.83800000000001,35.7065,34.92380000000001,1106.49,1103.66,1103.29,9865.7598,9886.9297,9894.4502,51.99
2004-10-22,52.32,52.48,51.94,51.99,8629200.0,0.5051886046970988,53.8558772093942,51.8351227906058,52.11,52.48,52.68,52.53,52.42,52.436000000000035,52.51799999999999,52.8455,53.1224,55.15375,52.29874207248877,52.29874207248877,52.29874207248877,52.29874207248877,52.29874207248877,-0.1961223690364804,-0.10544530212781952,0.7603569757523932,8.231144510546658,1333.3333333333333,-1.6272469252601691,40.363197811756635,-97.95081967213099,2.049180327869023,0.005569023693957336,-1035503.9999999779,-7075944.000000003,2004-10-22,22,4,296,43,0,0,0,0,0,0,1,2004,10,35.8,36.6,36.05,35.63,35.86000000000001,35.7565,34.9904,1095.74,1106.49,1108.2,9757.8096,9865.7598,9933.3799,52.3
2004-10-25,52.15,52.41,51.91,52.3,8345200.0,0.5149499209172126,53.864399841834434,51.80460015816558,51.99,52.11,52.48,52.92,52.32,52.31200000000003,52.457999999999984,52.834500000000006,53.1004,55.14894999999999,52.29916138165918,52.29916138165918,52.29916138165918,52.29916138165918,52.29916138165918,-0.2017414225460783,-0.1247045262114713,0.7417600489129367,7.918770840223139,1333.3333333333333,-1.1342155009451822,44.66781392477094,-84.2105263157895,15.789473684210511,0.004951336244351782,2587011.9999999595,-1835944.0000000498,2004-10-25,25,0,299,44,0,0,0,0,0,0,1,2004,10,35.63,35.8,36.6,36.14,35.848000000000006,35.813,35.052600000000005,1094.8,1095.74,1114.02,9749.9902,9757.8096,9956.3203,52.82
2004-10-26,52.3,52.95,52.23,52.82,8918200.0,0.5148047662642927,53.86610953252858,51.80689046747142,52.3,51.99,52.11,52.68,52.15,52.34000000000003,52.44799999999999,52.8365,53.0708,55.15105,52.47277425443946,52.47277425443946,52.47277425443946,52.47277425443946,52.47277425443946,-0.1623632858650481,-0.13223627814218666,0.7402057597048702,8.05031026386089,1333.3333333333335,-0.18896447467876307,51.05038542723269,-63.157894736842046,36.842105263157954,0.0071118591234526135,4637464.000000028,356727.9999999924,2004-10-26,26,1,300,44,0,0,0,0,0,0,1,2004,10,35.82,35.63,35.8,35.88,35.861000000000004,35.8755,35.111200000000004,1111.09,1094.8,1103.23,9888.4805,9749.9902,9897.6201,53.72
2004-10-27,52.51,53.79,52.5,53.72,11725900.0,0.5507590456050656,53.974018091210134,51.77098190878987,52.82,52.3,51.99,52.48,52.3,52.58800000000004,52.565,52.8725,53.0458,55.15709999999999,52.88851616962631,52.88851616962631,52.88851616962631,52.88851616962631,52.88851616962631,-0.05786630372617907,-0.11736228325898515,0.779476776868808,9.33332003365289,1333.3333333333333,2.2264509990485286,59.71230471931873,-3.723404255319159,96.27659574468083,0.009597370296847443,10553309.999999983,8442647.999999987,2004-10-27,27,2,301,44,0,0,0,0,0,0,1,2004,10,36.73,35.82,35.63,36.05,35.973000000000006,35.958,35.180600000000005,1125.4,1111.09,1103.66,10002.0303,9888.4805,9886.9297,53.99
2004-10-28,53.71,54.34,53.7,53.99,8409700.0,0.6014771291097615,54.11495425821952,51.70904574178048,53.72,52.82,52.3,52.11,52.51,52.964000000000034,52.754,52.912,53.03639999999999,55.16324999999999,53.255677446417536,53.255677446417536,53.255677446417536,53.255677446417536,53.255677446417536,0.04620245782109578,-0.08464933504296897,0.7695141499496074,11.120197533163251,1333.3333333333333,3.6276391554702503,61.89100880044195,-14.403292181069977,85.59670781893001,0.0070863682004035835,2270619.000000026,6643662.999999993,2004-10-28,28,3,302,44,0,0,0,0,0,0,1,2004,10,36.96,36.73,35.82,36.6,36.12400000000001,36.049,35.24280000000001,1127.4399,1125.4,1106.49,10004.54,10002.0303,9865.7598,53.92
2004-10-29,53.82,54.31,53.6,53.92,10006800.0,0.641177165762127,54.23385433152425,51.66914566847574,53.99,53.72,52.82,51.99,53.71,53.35000000000004,52.892999999999994,52.951499999999996,53.017599999999995,55.16714999999999,53.477118297611696,53.477118297611696,53.477118297611696,53.477118297611696,53.477118297611696,0.12162724298980976,-0.04339401943641322,0.7652631392389212,12.572278164578053,1333.3333333333335,2.6461069864839146,60.970423587274446,-17.283950617283974,82.71604938271602,0.006758055747794138,-700476.0000000028,7905371.999999992,2004-10-29,29,4,303,44,0,0,0,0,0,0,1,2004,10,36.9,36.96,36.73,35.8,36.251000000000005,36.089,35.30740000000001,1130.2,1127.4399,1095.74,10027.4697,10004.54,9757.8096,53.85
